ROI_0 distance (micron),ROI_0 Channel_1,ROI_0 Channel_2,ROI_0 Channel_3,ROI_1 distance (micron),ROI_1 Channel_1,ROI_1 Channel_2,ROI_1 Channel_3,ROI_2 distance (micron),ROI_2 Channel_1,ROI_2 Channel_2,ROI_2 Channel_3,ROI_3 distance (micron),ROI_3 Channel_1,ROI_3 Channel_2,ROI_3 Channel_3,ROI_4 distance (micron),ROI_4 Channel_1,ROI_4 Channel_2,ROI_4 Channel_3,ROI_5 distance (micron),ROI_5 Channel_1,ROI_5 Channel_2,ROI_5 Channel_3,ROI_6 distance (micron),ROI_6 Channel_1,ROI_6 Channel_2,ROI_6 Channel_3,ROI_7 distance (micron),ROI_7 Channel_1,ROI_7 Channel_2,ROI_7 Channel_3,ROI_8 distance (micron),ROI_8 Channel_1,ROI_8 Channel_2,ROI_8 Channel_3,ROI_9 distance (micron),ROI_9 Channel_1,ROI_9 Channel_2,ROI_9 Channel_3,ROI_10 distance (micron),ROI_10 Channel_1,ROI_10 Channel_2,ROI_10 Channel_3,ROI_11 distance (micron),ROI_11 Channel_1,ROI_11 Channel_2,ROI_11 Channel_3,ROI_12 distance (micron),ROI_12 Channel_1,ROI_12 Channel_2,ROI_12 Channel_3,ROI_13 distance (micron),ROI_13 Channel_1,ROI_13 Channel_2,ROI_13 Channel_3,ROI_14 distance (micron),ROI_14 Channel_1,ROI_14 Channel_2,ROI_14 Channel_3,ROI_15 distance (micron),ROI_15 Channel_1,ROI_15 Channel_2,ROI_15 Channel_3,ROI_16 distance (micron),ROI_16 Channel_1,ROI_16 Channel_2,ROI_16 Channel_3,ROI_17 distance (micron),ROI_17 Channel_1,ROI_17 Channel_2,ROI_17 Channel_3,ROI_18 distance (micron),ROI_18 Channel_1,ROI_18 Channel_2,ROI_18 Channel_3,ROI_19 distance (micron),ROI_19 Channel_1,ROI_19 Channel_2,ROI_19 Channel_3,ROI_20 distance (micron),ROI_20 Channel_1,ROI_20 Channel_2,ROI_20 Channel_3,ROI_21 distance (micron),ROI_21 Channel_1,ROI_21 Channel_2,ROI_21 Channel_3,ROI_22 distance (micron),ROI_22 Channel_1,ROI_22 Channel_2,ROI_22 Channel_3,ROI_23 distance (micron),ROI_23 Channel_1,ROI_23 Channel_2,ROI_23 Channel_3,ROI_24 distance (micron),ROI_24 Channel_1,ROI_24 Channel_2,ROI_24 Channel_3,ROI_25 distance (micron),ROI_25 Channel_1,ROI_25 Channel_2,ROI_25 Channel_3,ROI_26 distance (micron),ROI_26 Channel_1,ROI_26 Channel_2,ROI_26 Channel_3,ROI_27 distance (micron),ROI_27 Channel_1,ROI_27 Channel_2,ROI_27 Channel_3,ROI_28 distance (micron),ROI_28 Channel_1,ROI_28 Channel_2,ROI_28 Channel_3,ROI_29 distance (micron),ROI_29 Channel_1,ROI_29 Channel_2,ROI_29 Channel_3,ROI_30 distance (micron),ROI_30 Channel_1,ROI_30 Channel_2,ROI_30 Channel_3,ROI_31 distance (micron),ROI_31 Channel_1,ROI_31 Channel_2,ROI_31 Channel_3,ROI_32 distance (micron),ROI_32 Channel_1,ROI_32 Channel_2,ROI_32 Channel_3,ROI_33 distance (micron),ROI_33 Channel_1,ROI_33 Channel_2,ROI_33 Channel_3,ROI_34 distance (micron),ROI_34 Channel_1,ROI_34 Channel_2,ROI_34 Channel_3,ROI_35 distance (micron),ROI_35 Channel_1,ROI_35 Channel_2,ROI_35 Channel_3,ROI_36 distance (micron),ROI_36 Channel_1,ROI_36 Channel_2,ROI_36 Channel_3,ROI_37 distance (micron),ROI_37 Channel_1,ROI_37 Channel_2,ROI_37 Channel_3,ROI_38 distance (micron),ROI_38 Channel_1,ROI_38 Channel_2,ROI_38 Channel_3,ROI_39 distance (micron),ROI_39 Channel_1,ROI_39 Channel_2,ROI_39 Channel_3,ROI_40 distance (micron),ROI_40 Channel_1,ROI_40 Channel_2,ROI_40 Channel_3,ROI_41 distance (micron),ROI_41 Channel_1,ROI_41 Channel_2,ROI_41 Channel_3,ROI_42 distance (micron),ROI_42 Channel_1,ROI_42 Channel_2,ROI_42 Channel_3,ROI_43 distance (micron),ROI_43 Channel_1,ROI_43 Channel_2,ROI_43 Channel_3,ROI_44 distance (micron),ROI_44 Channel_1,ROI_44 Channel_2,ROI_44 Channel_3,ROI_45 distance (micron),ROI_45 Channel_1,ROI_45 Channel_2,ROI_45 Channel_3,ROI_46 distance (micron),ROI_46 Channel_1,ROI_46 Channel_2,ROI_46 Channel_3,ROI_47 distance (micron),ROI_47 Channel_1,ROI_47 Channel_2,ROI_47 Channel_3,ROI_48 distance (micron),ROI_48 Channel_1,ROI_48 Channel_2,ROI_48 Channel_3,ROI_49 distance (micron),ROI_49 Channel_1,ROI_49 Channel_2,ROI_49 Channel_3,ROI_50 distance (micron),ROI_50 Channel_1,ROI_50 Channel_2,ROI_50 Channel_3,ROI_51 distance (micron),ROI_51 Channel_1,ROI_51 Channel_2,ROI_51 Channel_3,ROI_52 distance (micron),ROI_52 Channel_1,ROI_52 Channel_2,ROI_52 Channel_3,ROI_53 distance (micron),ROI_53 Channel_1,ROI_53 Channel_2,ROI_53 Channel_3,ROI_54 distance (micron),ROI_54 Channel_1,ROI_54 Channel_2,ROI_54 Channel_3,ROI_55 distance (micron),ROI_55 Channel_1,ROI_55 Channel_2,ROI_55 Channel_3,ROI_56 distance (micron),ROI_56 Channel_1,ROI_56 Channel_2,ROI_56 Channel_3,ROI_57 distance (micron),ROI_57 Channel_1,ROI_57 Channel_2,ROI_57 Channel_3,ROI_58 distance (micron),ROI_58 Channel_1,ROI_58 Channel_2,ROI_58 Channel_3
2.506,3835.366,6139.656,134.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,4223.621,16644.432,344.616,0.000,0.000,0.000,0.000,2.506,2714.593,3567.168,148.124,2.506,9213.780,32442.022,2927.827,2.506,11306.432,29880.148,5186.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,7206.403,7210.184,230.896,2.506,7272.748,8663.402,670.415,0.000,0.000,0.000,0.000,2.506,8324.220,34559.177,14589.364,0.000,0.000,0.000,0.000,2.506,7227.200,17160.609,15639.044,2.506,5571.701,8464.114,5846.845,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,7042.517,12817.358,665.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,5077.406,15527.879,475.624,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,11555.636,30865.341,1630.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,6284.604,14425.938,9970.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,5046.189,25038.517,3204.260,2.506,9829.146,5161.948,372.237,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,5281.786,15132.811,8363.787,2.506,8918.323,12143.679,12596.316,0.000,0.000,0.000,0.000,2.506,2543.190,9018.729,10466.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,3394.234,8063.208,329.491,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,7560.924,17021.743,2518.829,2.506,9280.682,24775.505,14710.060,2.506,5089.802,11875.785,4692.122,0.000,0.000,0.000,0.000,2.506,12066.607,12240.280,2349.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.506,6748.044,25669.852,18513.135,0.000,0.000,0.000,0.000
2.541,3865.110,5044.909,116.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,4361.826,12553.023,278.863,0.000,0.000,0.000,0.000,2.541,2995.884,3749.454,166.608,2.541,9032.211,24390.002,1136.540,2.541,10780.206,27267.105,3676.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,7936.551,9693.765,188.475,2.541,7636.207,11796.748,516.692,0.000,0.000,0.000,0.000,2.541,8173.361,33598.527,18767.458,0.000,0.000,0.000,0.000,2.541,7067.775,17958.386,12340.424,2.541,5074.335,7608.768,2348.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,7647.628,12354.219,1024.934,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,4680.251,16446.215,613.521,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,11176.188,34693.508,2685.921,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,5836.189,10772.079,7482.989,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,5045.235,31029.507,3409.030,2.541,10400.024,4724.528,416.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,5940.612,13149.465,4681.097,2.541,8846.847,17703.850,12390.461,0.000,0.000,0.000,0.000,2.541,2574.336,9305.784,13668.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,3695.458,13561.469,394.954,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,7476.054,15714.385,1134.205,2.541,8954.286,27610.181,10099.171,2.541,5284.314,18067.099,4232.952,0.000,0.000,0.000,0.000,2.541,12214.539,14189.491,3877.712,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.541,6553.394,28197.565,14191.210,0.000,0.000,0.000,0.000
2.577,4058.501,5290.164,133.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,4626.572,8511.143,188.015,0.000,0.000,0.000,0.000,2.577,3438.109,5673.240,205.637,2.577,8820.947,17741.906,876.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,8209.786,10628.482,229.966,2.577,7716.555,14545.218,465.295,0.000,0.000,0.000,0.000,2.577,7756.424,30382.286,23894.314,0.000,0.000,0.000,0.000,2.577,7012.561,18836.404,9088.306,2.577,4799.515,8384.458,647.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,7780.098,10082.893,1302.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,4092.951,15909.815,845.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,11118.997,36331.527,4448.722,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,5456.868,8011.886,4320.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,4733.628,35202.470,4140.455,2.577,10970.506,4957.510,477.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,6588.205,11554.610,1392.638,2.577,8763.512,19254.527,10513.069,0.000,0.000,0.000,0.000,2.577,2642.775,10833.672,15173.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,3689.336,17025.529,391.987,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,7584.763,10693.323,667.553,2.577,8869.717,26627.518,9158.591,2.577,5205.585,24602.443,3157.698,0.000,0.000,0.000,0.000,2.577,11759.612,14577.175,5091.639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.577,6215.615,29465.459,9148.294,0.000,0.000,0.000,0.000
2.612,4278.847,6754.495,198.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,4845.094,6570.203,96.894,0.000,0.000,0.000,0.000,2.612,4153.066,7590.671,195.535,2.612,8667.270,14969.303,854.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,8259.685,11577.309,189.519,2.612,7792.329,16728.849,528.975,0.000,0.000,0.000,0.000,2.612,7294.927,23221.931,27152.495,0.000,0.000,0.000,0.000,2.612,7096.646,19771.974,6145.750,2.612,4749.556,10968.267,317.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,7955.962,10581.247,1417.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,3603.929,14420.742,922.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,10913.185,36471.747,6243.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,5340.039,5579.579,2018.762,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,4510.871,35538.192,4713.023,2.612,11456.605,5744.577,463.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,7533.214,10678.890,559.573,2.612,8503.939,18138.181,8370.294,0.000,0.000,0.000,0.000,2.612,2804.506,15689.731,13604.589,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,3800.073,19203.402,389.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,7402.136,9795.903,523.453,2.612,8248.469,23452.522,3969.930,2.612,5052.750,33230.375,3323.517,0.000,0.000,0.000,0.000,2.612,10873.421,13791.843,5201.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.612,5735.156,22734.101,6529.348,0.000,0.000,0.000,0.000
2.647,4361.956,8715.656,289.818,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,4990.741,7042.313,107.876,0.000,0.000,0.000,0.000,2.647,5029.465,9707.734,246.515,2.647,8592.233,15831.796,706.379,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,7855.247,11293.000,151.521,2.647,7849.311,18499.863,529.220,0.000,0.000,0.000,0.000,2.647,6917.805,16084.046,28596.076,0.000,0.000,0.000,0.000,2.647,7226.178,19635.955,3218.584,2.647,4837.600,12962.200,329.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,7681.388,10835.451,1161.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,2983.226,11457.882,875.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,10929.604,34815.112,9744.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,5425.283,4979.148,746.753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,4291.001,31779.036,5276.971,2.647,11716.876,6427.354,448.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,8666.995,11308.292,436.545,2.647,8122.058,14223.707,7156.398,0.000,0.000,0.000,0.000,2.647,2919.921,20149.006,9732.941,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,3761.796,19710.133,380.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,7437.181,13122.761,459.103,2.647,7782.082,19050.271,2044.784,2.647,4636.476,35040.614,2589.882,0.000,0.000,0.000,0.000,2.647,9663.877,11431.665,4448.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.647,5302.114,15186.021,6058.320,0.000,0.000,0.000,0.000
2.682,4581.714,10099.990,350.415,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,5088.356,8071.118,179.206,0.000,0.000,0.000,0.000,2.682,5913.140,9286.474,288.938,2.682,8545.200,17891.756,527.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,7190.016,9764.857,109.921,2.682,7782.807,18921.875,761.289,0.000,0.000,0.000,0.000,2.682,6669.829,12021.511,28523.534,0.000,0.000,0.000,0.000,2.682,7696.444,22899.117,2487.893,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,7032.871,9992.676,713.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,2237.294,7615.156,619.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,10504.692,29696.637,13405.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,5705.153,6541.310,295.952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,4482.144,27342.543,6504.226,2.682,11641.115,6657.076,440.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,9602.517,15280.827,507.432,2.682,7937.338,15729.388,8029.271,0.000,0.000,0.000,0.000,2.682,2932.445,18997.026,5615.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,3611.885,17390.397,404.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,7328.423,13687.162,370.537,2.682,7015.861,13610.889,1603.100,2.682,4127.641,30011.177,1028.296,0.000,0.000,0.000,0.000,2.682,9479.842,10392.137,3392.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,4475.884,13215.693,3171.291,0.000,0.000,0.000,0.000
2.718,4888.767,10996.535,321.482,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,4990.616,8133.171,282.449,0.000,0.000,0.000,0.000,2.718,6782.212,9728.031,331.235,2.718,8473.821,18654.013,423.628,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,6741.075,9694.504,92.778,2.718,7772.978,19677.721,919.458,0.000,0.000,0.000,0.000,2.718,6521.954,13404.346,26877.341,0.000,0.000,0.000,0.000,2.718,7908.312,21385.193,1203.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,6155.413,7995.547,338.577,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,2435.329,6899.534,490.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,10299.686,21944.901,15510.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,6045.054,8976.932,258.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,4917.860,27013.321,9045.925,2.718,11218.249,6683.040,365.989,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,10193.086,19735.551,999.753,2.718,7481.444,8961.740,8712.937,0.000,0.000,0.000,0.000,2.718,2758.186,18931.233,2519.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,3427.113,13514.024,550.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,7403.961,15554.639,339.375,0.000,0.000,0.000,0.000,2.718,3824.482,27631.943,502.621,0.000,0.000,0.000,0.000,2.718,8747.380,8825.845,2047.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.718,3765.661,13760.710,2215.044,0.000,0.000,0.000,0.000
2.753,5296.094,11041.157,260.421,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,4822.161,6812.049,291.867,0.000,0.000,0.000,0.000,2.753,7319.600,8838.728,321.894,2.753,8392.898,17840.577,438.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,7666.803,16653.054,1378.285,0.000,0.000,0.000,0.000,2.753,6422.651,19312.528,23191.652,0.000,0.000,0.000,0.000,2.753,8015.671,17053.534,487.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,5301.605,6185.103,188.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,2070.553,4108.290,254.586,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,10142.742,14793.003,16039.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,6333.973,11195.012,279.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,5575.349,32286.544,9073.792,2.753,10465.045,6863.672,260.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,10402.896,23041.855,2043.778,2.753,7176.439,6094.561,8217.305,0.000,0.000,0.000,0.000,2.753,2464.458,19580.590,2891.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,3165.121,11249.554,966.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.753,7561.634,15995.670,302.626,0.000,0.000,0.000,0.000,2.753,3439.976,25382.838,315.648,0.000,0.000,0.000,0.000,2.753,7982.025,7563.800,883.379,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.788,5757.047,10623.113,239.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,4654.665,4889.594,245.934,0.000,0.000,0.000,0.000,2.788,7453.370,6840.715,282.111,2.788,8360.713,15637.950,422.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,7541.940,13438.101,1713.415,0.000,0.000,0.000,0.000,2.788,6363.118,26824.946,17346.686,0.000,0.000,0.000,0.000,2.788,8343.492,14184.980,440.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,4698.417,5363.811,206.698,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,2848.266,5165.290,209.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,10096.181,11975.838,14895.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,6467.346,12186.697,243.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,6301.175,39779.266,7395.922,2.788,9623.177,7403.655,209.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,10927.936,24745.496,2835.215,2.788,7394.423,7323.357,8739.746,0.000,0.000,0.000,0.000,2.788,2208.410,19039.265,3216.827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,2964.845,8227.942,1103.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.788,8009.599,12936.285,245.203,0.000,0.000,0.000,0.000,2.788,3187.917,23384.905,321.270,0.000,0.000,0.000,0.000,2.788,7670.742,8300.217,367.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.824,6200.946,10306.991,246.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,4572.919,3519.664,254.966,0.000,0.000,0.000,0.000,2.824,7112.626,5673.057,196.561,2.824,8388.053,12010.984,357.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,7750.386,11711.748,2018.272,0.000,0.000,0.000,0.000,2.824,6285.599,34695.225,12073.389,0.000,0.000,0.000,0.000,2.824,8707.861,12327.006,444.793,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,4462.725,5344.395,235.577,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,3334.561,6803.719,179.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,10407.345,16936.548,15766.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,6429.303,11780.849,226.902,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,6798.317,44494.371,2835.695,2.824,8707.977,7650.250,244.698,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,10532.555,28516.656,3284.763,2.824,7531.710,7828.035,6569.494,0.000,0.000,0.000,0.000,2.824,2019.075,15224.405,2259.767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,2725.283,7183.249,2825.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.824,8232.339,10593.125,245.277,0.000,0.000,0.000,0.000,2.824,3091.244,24230.828,361.520,0.000,0.000,0.000,0.000,2.824,7359.382,9162.159,214.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.859,6521.017,9709.997,263.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,4493.324,3199.976,314.603,0.000,0.000,0.000,0.000,2.859,6863.152,6157.771,181.046,2.859,8401.117,7819.699,453.733,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,7951.932,8805.573,3830.812,0.000,0.000,0.000,0.000,2.859,6380.685,38662.798,9364.499,0.000,0.000,0.000,0.000,2.859,8986.389,12993.724,414.332,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,4565.638,5748.613,233.823,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,3760.262,9523.097,189.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,10306.576,22105.899,11782.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,6180.782,10130.355,175.505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,6816.423,41876.954,681.331,2.859,7273.631,7630.750,304.883,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,10003.099,27563.770,4673.174,2.859,7827.768,9255.593,4140.437,0.000,0.000,0.000,0.000,2.859,1952.680,10092.998,2052.446,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,2690.711,8333.047,2203.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.859,8415.170,11215.494,271.911,0.000,0.000,0.000,0.000,2.859,2899.026,25736.486,359.155,0.000,0.000,0.000,0.000,2.859,7184.454,9012.609,194.851,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
