,image name,object name,avg int channel 1,avg int channel 2
119,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #224 (MRPL23),732.8157894736842,1424.0526315789473
120,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #225 (MRPL23),2072.3783783783783,3320.5405405405404
121,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #230 (MRPL23),2787.125,3329.7291666666665
122,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #232 (MRPL23),2222.315789473684,2176.3684210526317
123,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #235 (MRPL23),2111.9636363636364,1898.7636363636364
124,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #238 (MRPL23),3152.0,2400.75
125,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #239 (MRPL23),1730.59375,3645.390625
126,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #241 (MRPL23),1154.75,1038.625
127,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #242 (MRPL23),3392.25,869.75
128,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #243 (MRPL23),1458.3103448275863,9556.275862068966
129,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #246 (MRPL23),1027.0,887.1666666666666
130,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #250 (MRPL23),776.0869565217391,7119.536231884058
131,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #254 (MRPL23),1964.3203883495146,5126.514563106796
132,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #256 (MRPL23),1005.0882352941177,1582.4411764705883
133,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #276 (MRPL23),1101.4,1592.3166666666666
134,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #282 (MRPL23),1136.313725490196,1835.764705882353
135,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #287 (MRPL23),1782.3294117647058,2210.9764705882353
136,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #289 (MRPL23),1202.842105263158,2278.9824561403507
137,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #292 (MRPL23),1234.892857142857,2372.3928571428573
138,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #294 (MRPL23),2205.519230769231,2380.596153846154
139,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #295 (MRPL23),1631.0681818181818,3733.590909090909
140,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #297 (MRPL23),1566.25,971.0
141,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #300 (MRPL23),1636.2666666666667,2383.4
142,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #301 (MRPL23),1081.735294117647,2228.4117647058824
143,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #302 (MRPL23),1905.82,1902.06
144,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #303 (MRPL23),902.9722222222222,1862.5555555555557
145,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #304 (MRPL23),2049.31914893617,2233.978723404255
146,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #309 (MRPL23),1352.3673469387754,2002.5102040816328
147,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #310 (MRPL23),908.9722222222222,1337.5
148,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #312 (MRPL23),918.7708333333334,2115.8125
149,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #313 (MRPL23),1080.5636363636363,2419.5636363636363
150,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #319 (MRPL23),1417.0,1184.0
151,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #324 (MRPL23),2858.5348837209303,1632.8837209302326
152,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #325 (MRPL23),1280.9032258064517,1979.6290322580646
153,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #327 (MRPL23),1214.0727272727272,2363.7636363636366
154,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #328 (MRPL23),802.2307692307693,884.1538461538462
155,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #331 (MRPL23),1377.537037037037,1856.5185185185185
156,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #338 (MRPL23),1172.1020408163265,1630.795918367347
157,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #339 (MRPL23),1785.0925925925926,2076.185185185185
158,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #341 (MRPL23),1292.4426229508197,2401.3606557377047
159,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #342 (MRPL23),1910.3157894736842,1369.3157894736842
160,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #343 (MRPL23),1943.4032258064517,2480.9193548387098
