,image set,total area,avg rnr2 intensity
3957,ChloropreV2,0.03301280873332988,6466.481481481482
3958,ChloropreV2,0.059173902446534685,7340.729166666667
3959,ChloropreV2,0.11647915534212616,7741.223404255319
3960,ChloropreV2,0.0591739024465347,7156.958333333333
3961,ChloropreV2,0.03924164056980721,6844.125
3962,ChloropreV2,0.1351656508515582,7131.59633027523
3963,ChloropreV2,0.004360182285534135,6099.5
3964,ChloropreV2,0.11274185624023976,7356.516483516483
3965,ChloropreV2,0.015572079591193342,6343.615384615385
3966,ChloropreV2,0.07910616432326216,6907.9375
3967,ChloropreV2,0.13018258538237634,9254.619047619048
3968,ChloropreV2,0.003114415918238668,6029.333333333333
3969,ChloropreV2,0.004360182285534135,6143.0
3970,ChloropreV2,0.031767042366034406,6517.692307692308
3971,ChloropreV2,0.050453537875466414,7301.414634146341
3972,ChloropreV2,0.052945070610057356,6770.860465116279
3973,ChloropreV2,0.015572079591193342,6375.461538461538
3974,ChloropreV2,0.004360182285534135,6102.75
3975,ChloropreV2,0.0205551450603752,6218.0
3976,ChloropreV2,0.024292444162261603,6505.6
3977,ChloropreV2,0.004360182285534135,6099.75
3978,ChloropreV2,0.03924164056980721,6630.4375
3979,ChloropreV2,0.004360182285534135,6065.5
3980,ChloropreV2,0.004360182285534135,6060.5
3981,ChloropreV2,0.08035193069055761,7041.076923076923
3982,ChloropreV2,0.07786039795596665,7867.31746031746
3983,ChloropreV2,0.2148946983584676,7836.121387283237
3984,ChloropreV2,0.05169930424276188,6854.5952380952385
3985,ChloropreV2,0.2572507548465128,7431.787439613527
3986,ChloropreV2,0.11149608987294428,10503.4
3987,ChloropreV2,0.018063612325784274,6329.533333333334
3988,ChloropreV2,0.009343247754716004,6351.0
3989,ChloropreV2,0.05543660334464829,6758.822222222222
3990,ChloropreV2,0.10900455713835337,7193.261363636364
3991,ChloropreV2,0.026783976896852545,6577.272727272727
3992,ChloropreV2,0.14388601542262638,7548.189655172414
3993,ChloropreV2,0.03675010783521628,6963.566666666667
3994,ChloropreV2,0.03176704236603441,6700.5
3995,ChloropreV2,0.3419628678226035,11153.101818181818
3996,ChloropreV2,0.03550434146792081,6508.068965517241
3997,ChloropreV2,0.52384475744774,10916.85510688836
3998,ChloropreV2,0.24853039027544468,9671.62
3999,ChloropreV2,0.02927550963144347,6670.916666666667
4000,ChloropreV2,0.03301280873332988,6506.7037037037035
4001,ChloropreV2,0.054190836977352816,6832.022727272727
4002,ChloropreV2,0.026783976896852538,6476.409090909091
4003,ChloropreV2,0.07536886522137574,7338.3442622950815
4004,ChloropreV2,0.1912251373798539,7850.636363636364
4005,ChloropreV2,0.003114415918238668,6125.666666666667
4006,ChloropreV2,0.029275509631443482,6313.375
4007,ChloropreV2,0.23482696023519456,8414.973544973545
4008,ChloropreV2,0.3594035969647399,8976.608996539793
4009,ChloropreV2,0.10028419256728509,8473.888888888889
4010,ChloropreV2,0.011834780489306938,6114.4
4011,ChloropreV2,0.003114415918238668,6054.0
4012,ChloropreV2,0.07536886522137574,7787.901639344263
4013,ChloropreV2,0.0168178459584888,6298.285714285715
4014,ChloropreV2,0.07536886522137577,6510.262295081967
4015,ChloropreV2,0.014326313223897874,6272.833333333333
4016,ChloropreV2,0.1526063799936946,9743.829268292682
4017,ChloropreV2,0.016817845958488807,6226.357142857143
4018,ChloropreV2,0.03924164056980722,6452.75
4019,ChloropreV2,0.7854556945797876,7448.29793977813
4020,ChloropreV2,0.03675010783521628,6954.866666666667
4021,ChloropreV2,0.0629112015484211,6777.686274509804
4022,ChloropreV2,0.004360182285534135,6091.25
4023,ChloropreV2,0.019309378693079735,6225.5
4024,ChloropreV2,0.025538210529557077,6643.190476190476
4025,ChloropreV2,0.009343247754716004,6276.25
4026,ChloropreV2,0.11647915534212618,8105.234042553191
4027,ChloropreV2,0.213648931991172,8924.75
4028,ChloropreV2,0.08408922979244403,8019.455882352941
4029,ChloropreV2,0.06914003338489842,6485.321428571428
4030,ChloropreV2,0.11274185624023976,7434.725274725275
4031,ChloropreV2,0.12769105264778538,6676.563106796117
4032,ChloropreV2,0.08533499615973951,7002.550724637681
4033,ChloropreV2,0.023046677794966136,6483.9473684210525
4034,ChloropreV2,0.10900455713835332,9208.75
4035,ChloropreV2,0.6359637305043317,10129.945205479453
4036,ChloropreV2,0.3220306059458763,8041.926640926641
4037,ChloropreV2,0.003114415918238668,6031.333333333333
4038,ChloropreV2,0.009343247754716004,6237.375
4039,ChloropreV2,0.003114415918238668,6035.666666666667
4040,ChloropreV2,0.015572079591193342,6286.0
4041,ChloropreV2,0.010589014122011471,6274.777777777777
4042,ChloropreV2,0.07536886522137574,7295.606557377049
4043,ChloropreV2,0.07038579975219388,6527.859649122807
4044,ChloropreV2,0.35442053149555813,8753.042105263157
